0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_category ,object_type ,offer_type ,ref_object ,object_street ,object_zip ,object_city ,object_state ,object_country ,object_title ,object_description ,selling_price ,rent_net ,rent_extra ,price_unit ,picture_1_filename ,picture_2_filename ,picture_3_filename ,picture_4_filename ,picture_5_filename ,picture_1_title ,picture_2_title ,picture_3_title ,picture_4_title ,picture_5_title ,picture_1_description ,picture_2_description ,picture_3_description ,picture_4_description ,picture_5_description ,movie_filename ,movie_title ,movie_description ,document_filename ,document_title ,document_description ,url ,agency_id ,agency_name ,agency_name_2 ,agency_reference ,agency_street ,agency_zip ,agency_city ,agency_country ,agency_phone ,agency_mobile ,agency_fax ,agency_email ,agency_logo ,visit_name ,visit_phone ,visit_email ,visit_remark ,publish_until ,destination ,picture_6_filename ,picture_7_filename ,picture_8_filename ,picture_9_filename ,picture_6_title ,picture_7_title ,picture_8_title ,picture_9_title ,picture_6_description ,picture_7_description ,picture_8_description ,picture_9_description ,picture_1_url ,picture_2_url ,picture_3_url ,picture_4_url ,picture_5_url ,picture_6_url ,picture_7_url ,picture_8_url ,picture_9_url ,distance_motorway ,ceiling_height ,hall_height ,maximal_floor_loading ,carrying_capacity_crane ,carrying_capacity_elevator ,isdn ,wheelchair_accessible ,animal_allowed ,ramp ,lifting_platform ,railway_terminal ,restrooms ,water_supply ,sewage_supply ,power_supply ,gas_supply ,municipal_info ,own_object_url ,billing_anrede ,billing_first_name ,billing_name ,billing_company ,billing_street ,billing_post_box ,billing_zip ,billing_place_name ,billing_land ,billing_phone_1 ,billing_phone_2 ,billing_mobile ,billing_language ,publishing_id ,delivery_id ,picture_10_filename ,picture_11_filename ,picture_12_filename ,picture_13_filename ,picture_10_title ,picture_11_title ,picture_12_title ,picture_13_title ,picture_10_description ,picture_11_description ,picture_12_description ,picture_13_description ,picture_10_url ,picture_11_url ,picture_12_url ,picture_13_url ,commission_sharing ,commission_own ,commission_partner ,agency_logo_2 ,number_of_floors ,year_renovated ,flat_sharing_community ,corner_house ,middle_house ,building_land_connected ,gardenhouse ,raised_ground_floor ,new_building ,old_building ,under_building_laws ,under_roof ,swimmingpool ,minergie_general ,minergie_certified ,last_modified ,advertisement_id ,sparefield_1 ,sparefield_2 ,sparefield_3 ,sparefield_4 ,sparefield_5,sparefield_6,sparefield_7,sparefield_8,sparefield_9,sparefield_10
INDUS,1,RENT,609,"51-53, av. Louis-Casaï",1209,Genève,GE,CH,1000 m2 de bureaux à 2' de l'aéroport,"Bureaux fonctionnels et lumineux sur un seul niveau<br /><br />- Accès direct par ascenseur, deux entrées possibles<br /><br />- Plancher technique - local IT<br />- Faux-plafonds, luminaires intégrés.<br />- Air rafraîchi<br /><br />- Parking en sous-sol, CHF 220.- p.mois.<br />- Possibilité de louer des dépôts",37191,34191,3000,MONTHLY,cf5c24e7-44ce-4b59-92be-f04ffb1760d4.jpg,ab62bd01-dbff-4153-b7b3-e5f8ef586d41.jpg,1b741288-2bfe-4a86-a3c8-29fdadb5a66b.jpg,33eb6f54-0647-4719-a608-07f7e6aa5231.jpg,4e94d210-6f6b-4b4a-9571-cbaa712e1949.jpg,Vue extérieure,Vue extérieure,Vue intérieure,Vue intérieure,Vue intérieure,,,,,,,,,2afde8c2-1a6b-4f14-848e-ec71f7c78ce9.pdf,Plan d'ensemble,,,wic,,,Serre-Bettoni Inès,Grüzefeldstr. 41,8401,Winterthur,CH,022 404 65 46,,022 404 65 05,,,,,,"Wincasa SA<br /><br />Inès Serre<br />28, bvd. du Pont d'Arve/CP 767, 1211 Genève 4<br />Téléphone: 022 404 65 46<br />                   079 40 8 71 46<br /><br />ines.serre@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,5,RENT,651,Rütistrasse 68-84,8134,Adliswil,ZH,CH,Einstellplatz gesucht?,Wir vermieten per sofort oder nach Vereinbarung Einstellplätze zu CHF 120.- pro Monat.<br /><br />Für externe Mieter versteht sich der Betrag exkl. MWST.,,,,MONTHLY,83e7728d-b103-44a5-b178-f700ccb86093.jpg,,,,,Aussicht,,,,,,,,,,,,,,,,,wic,,,Bischoff Patrick,Reitergasse 9,8021,Zürich,CH,044 277 67 48,,044 277 67 68,,,,,,"Für die Vereinbarung eines Besichtigungstermins, melden Sie <br />sich bitte bei Herr und Frau Caderas unter 079 284 33 44, tagsüber zwischen 08:00 und 17:00 Uhr erreichbar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,5,RENT,685,Route de St-Thérèse 2a-e,1700,Fribourg,FR,CH,Dépôts de différentes grandeurs,"Divers dépôts <br /><br />- idéal pour local archivage / entreposage / garde-meubles<br />- facile d'accès (par le parking souterrain, hauteur 2 m.)<br />- CHF 50.-/m2/an + charges forfaitaires<br />- de 60 à 266 m2<br />- dépôts bruts<br />- construction récente",,,,M2YEARLY,43cdc259-f082-495a-aafb-9a712ae70e40.jpg,,,,,Vue extérieure,,,,,,,,,,,,,,,,,wic,,,Richard Justine,Rue St-Pierre 6B,1700,Fribourg,CH,026 404 62 01,,026 404 62 19,,,,,,"Wincasa SA<br />Rue St-Pierre 6b, CP 1611, 1701 Fribourg<br />Justine Richard<br />Téléphone : 026 404 62 01<br />Fax/portable:   026 404 62 19<br />E-mail :  justine.richard@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,5,RENT,893,Anglikerstr. 46-52,5612,Villmergen,AG,CH,Einstellplätze...,...in der Einstellhalle einer Wohnüberbauung zu vermieten.<br /><br />- Verfügbar ab sofort oder nach Vereinbarung<br />- Fremdmieter zahlen zusätzlich 8% Mehrwertsteuer,125,,,MONTHLY,982b8667-20f1-4392-8531-6607d0ac9403.jpg,,,,,Aussenansicht,,,,,,,,,,,,,,,,,wic,,,Ferrarelli Laura,Badstr. 4,5400,Baden,CH,056 404 83 27,,,,,,,,"Bischof Tim, Tel. 056 404 83 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,20,RENT,899,Square des Places 3,1700,Fribourg,FR,CH,BÂTIMENT UNIQUE A FRIBOURG,"Magnifiques surfaces à louer pour <br />des bureaux,  magasins de prestige ou restaurant <br /><br />Beaucoup de cachet<br /><br />Proches de toutes commodités<br /><br />Parking à proximité<br /><br />PRIX A DISCUTER!",325,300,25,M2YEARLY,8b03ddb4-6d2a-4fb5-8089-3cce04f07d08.jpg,a956d04e-bbc2-4bec-ad8a-872d8a8c36c2.jpg,1565644f-ff01-42c9-9fa7-5d47f9598e0c.jpg,76b57b29-ef3a-4254-889b-10af7e88e310.jpg,5deebf51-39f0-4f88-afb6-58858d31b648.jpg,Vue extérieure,Vue intérieure,Vue intérieure,Vue,Vue,,,,,,,,,637d9280-064f-4383-aaab-c73544c4e5d9.pdf,Plan d'ensemble,,,wic,,,Paolillo Giancarlo,Rue St-Pierre 6B,1700,Fribourg,CH,026 404 62 04,,026 404 62 19,,,,,,"Giancarlo Paolillo<br />Rue St-Pierre 6b / CP 1611, 1701 Fribourg<br />Téléphone: 026 404 62 04<br />Fax/portable:   026 404 62 19<br />e-mail:     giancarlo.paolillo@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,4.5,,300,,,Y,Y,N,Y,,N,Y,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,Y,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
INDUS,1,RENT,903,Abbé-Bovet 4,1700,Fribourg,FR,CH,Bureaux aux centre ville,Surfaces de bureaux de 500 m2 divisibles.<br /><br />Proches de toutes commodités<br /><br />Parking à proximité<br /><br />Prix à discuter.,235,210,25,M2YEARLY,bb7f6f85-5eb3-4053-8410-f8dee44306a3.jpg,02866a1f-a556-46e5-8bb2-ef15aa7844b4.jpg,7d165cab-80b2-4efe-9257-541a644cd9bb.jpg,e601b81a-e667-4820-b324-aa2b2bed8762.jpg,84b88de4-c279-4698-be5d-0d18ee69cf1c.jpg,Vue extérieure,Vue intérieure,Vue intérieure,Vue intérieure,Vue intérieure,,,,,,,,,379213d7-9904-42bf-957e-4a65bdafd2c3.pdf,Plan d'ensemble,,,wic,,,Paolillo Giancarlo,Rue St-Pierre 6B,1700,Fribourg,CH,026 404 62 04,,026 404 62 19,,,,,,"Giancarlo Paolillo<br />Rue St-Pierre 6b / CP 1611, 1701 Fribourg<br />Téléphone: 026 404 62 04<br />Fax/portable:   026 404 62 19<br />e-mail:     giancarlo.paolillo@wincasa.ch",,,,,,,,,,,,,,,,,,,,,,,,,4.3,,300,,,Y,Y,N,N,,N,Y,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
PARK,5,RENT,908,Fuhrenstr. 56,3098,Schliern b. Köniz,BE,CH,Parkplatznot in Schliern?,"EINSTELLHALLENPLÄTZE<br /><br />- Leicht zugänglich<br />- Einfahrt ebenerdig<br />- Kurzfristig verfügbar<br /><br />Im Wohnquartier nähe Muhlernstrasse, Gaselstrasse, Plattenweg und Froschweg",110,,,MONTHLY,6618f45d-e957-43fc-b873-afeea879287a.jpg,,,,,Aussenansicht,,,,,,,,,,,,,,,,,wic,,,Caruso Rocco,Laupenstr. 19 / Postfach,3001,Bern,CH,031 385 86 52,,031 385 86 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,7,RENT,966,Gempenstr. 46,4053,Basel,BS,CH,APALIVING Basel - Am Puls der Stadt Zuhause,"APALIVING vermietet in unmittelbarer Nähe Bahnhof SBB, möblierte Wohnungen mit Hotelkomfort und persönlichem Ambiente.<br /><br />An der Gempenstrasse bieten wir Wohnungen von 1.5 bis 3.5 Zimmern an, buchbar ab einer Mindestdauer von einem Monat. <br /><br />Wir bieten Ihnen:<br /><br />- Zentrale Lage<br />- Gratis W-LAN<br />- 14-tägige Wohnungsreinigung<br />- 14-tägiger Bett- und Badwäschewechsel<br />- Einstellhalle im Hause<br /><br />Haben wir Ihr Interesse geweckt? Weitere Details und für Buchungsanfragen siehe www.apaliving.ch <br /><br />APALIVING Basel, J.J. Balmer-Strasse 1, 4053 Basel<br />Tel. +41 61 333 05 30, info@apaliving.ch",,,,MONTHLY,e4712acb-93d5-42c5-95d4-f7f5a0e2c868.jpg,20214708-8a57-47d7-84bf-30f00c3f825b.jpg,1e2eb11b-e0a3-4c51-b925-03ac57ba9b94.jpg,1b6f6dde-f95a-4a88-bcbd-56a0842388c7.jpg,7ee132d3-c884-4f35-9fa2-2758269aca80.jpg,Aussenansicht,Wohnzimmer,Wohnzimmer,Wohnzimmer,Zimmer,,,,,,,,,,,,,wic,,,Yilmazer Kaan,Hardstr. 11,4002,Basel,CH,061 270 91 40,,061 270 90 99,,,,,,"Guten Tag<br /><br />Danke für Ihr Interesse. <br />Für eine Besichtigung und weitere Informationen: APALIVING, +41 61 333 05 30 / Info@apaliving.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,Y,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,7,RENT,967,J.J. Balmer-Str. 3-7,4053,Basel,BS,CH,APALIVING Basel - Am Puls der Stadt Zuhause,"APALIVING vermietet in unmittelbarer Nähe des Basler Bahnhofs möblierte Wohnungen mit Hotelkomfort und persönlichem Ambiente.<br /><br />An der J.J. Balmer-Strasse bieten wir Wohnungen von 1.5 und 2.5 Zimmern an, buchbar ab einer Mindestdauer von einem Monat. <br /><br />Wir bieten Ihnen:<br /><br />- Zentrale Lage<br />- Gratis W-LAN<br />- 14-tägige Wohnungsreinigung<br />- 14-tägiger Bett- und Badwäschewechsel<br />- Einstellhalle im Hause<br /><br />Haben wir Ihr Interesse geweckt? Weitere Details und für Buchungsanfragen siehe www.apaliving.ch <br /><br />APALIVING Basel, J.J. Balmer-Strasse 1, 4053 Basel<br />Tel. +41 61 333 05 30, info@apaliving.ch",,,,MONTHLY,5fa37179-427d-4077-837b-866150826380.jpg,1d0a1bb1-ba6e-41de-8dd5-77e453d41b63.jpg,0c3f127a-7c5e-4c1e-9dbf-6fc7103ae8c3.jpg,e6eba167-498b-402d-948a-b19b826c29ec.jpg,8a6f6c8e-0000-4a3c-a267-1ce26e055063.jpg,Aussenansicht,Wohnzimmer,Wohnzimmer,Bad,Zimmer,,,,,,,,,,,,,wic,,,Yilmazer Kaan,Hardstr. 11,4002,Basel,CH,061 270 91 40,,061 270 90 99,,,,,,"Guten Tag<br /><br />Danke für Ihr Interesse. Für eine Besichtigung und weitere Informationen: APALIVING, +41 61 333 05 30 / Info@apaliving.ch und www.apaliving.ch",,,8bde1f2d-28e5-4087-975e-55803f465f7d.jpg,,,,Zimmer,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
APPT,7,RENT,968,J.J. Balmer-Str. 6-10,4053,Basel,BS,CH,APALIVING Basel - Am Puls der Stadt Zuhause,"APALIVING vermietet in unmittelbarer Nähe des Basler Bahnhofs möblierte Wohnungen mit Hotelkomfort und persönlichem Ambiente.<br /><br />An der J.J. Balmer-Strasse bieten wir Wohnungen von 1.5 und 2.5 Zimmern an, buchbar ab einer Mindestdauer von einem Monat. <br /><br />Wir bieten Ihnen:<br /><br />- Zentrale Lage<br />- Gratis W-LAN<br />- 14-tägige Wohnungsreinigung<br />- 14-tägiger Bett- und Badwäschewechsel<br />- Einstellhalle im Hause<br /><br />Haben wir Ihr Interesse geweckt? Weitere Details und für Buchungsanfragen siehe www.apaliving.ch <br /><br />APALIVING Basel, J.J. Balmer-Strasse 1, 4053 Basel<br />Tel. +41 61 333 05 30, info@apaliving.ch",,,,MONTHLY,1fafe3dd-0a25-4d20-9561-960e88b87fd8.jpg,2d208fce-421c-42c4-826e-d335a44a1577.jpg,ed09a3dd-1d8c-4bf8-a090-cc1faf66c788.jpg,63f9366b-6161-481d-8f66-e3768c295dcf.jpg,79db89ff-619e-4192-ab59-6b30f9ab0694.jpg,Aussenansicht,Wohnzimmer,Wohnzimmer,Bad,Zimmer,,,,,,,,,,,,,wic,,,Yilmazer Kaan,Hardstr. 11,4002,Basel,CH,061 270 91 40,,061 270 90 99,,,,,,"Guten Tag<br /><br />Danke für Ihr Interesse. Für eine Besichtigung und weitere Informationen: APALIVING, +41 61 333 05 30 / Info@apaliving.ch und www.apaliving.ch",,,1f24960f-ab3f-4f54-bff5-a1f73f8e2ad0.jpg,,,,Zimmer,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,N,N,,N,N,N,N,1/24/2018 13:00,,,,,,,,,,,
